fsi_id,epu_low_regime_idx,epu_markov_converged,epu_markov_finite_bse,epu_fsi_beta_low,epu_fsi_beta_high,epu_fsi_beta_low_se,epu_fsi_beta_high_se,epu_fsi_beta_low_p,epu_fsi_beta_high_p,epu_fsi_beta_high_positive,epu_fsi_beta_high_sig_5pct,epu_fsi_beta_amplification,epu_fsi_msr_conditions_pass,cfsi_low_regime_idx,cfsi_markov_converged,cfsi_markov_finite_bse,cfsi_fsi_beta_low,cfsi_fsi_beta_high,cfsi_fsi_beta_low_se,cfsi_fsi_beta_high_se,cfsi_fsi_beta_low_p,cfsi_fsi_beta_high_p,cfsi_fsi_beta_high_positive,cfsi_fsi_beta_high_sig_5pct,cfsi_fsi_beta_amplification,cfsi_fsi_msr_conditions_pass,vixc_low_regime_idx,vixc_markov_converged,vixc_markov_finite_bse,vixc_fsi_beta_low,vixc_fsi_beta_high,vixc_fsi_beta_low_se,vixc_fsi_beta_high_se,vixc_fsi_beta_low_p,vixc_fsi_beta_high_p,vixc_fsi_beta_high_positive,vixc_fsi_beta_high_sig_5pct,vixc_fsi_beta_amplification,vixc_fsi_msr_conditions_pass
fsi_53eb804bb056,0,True,True,-0.2560654376,0.5844282367,0.1742851892,0.1807232516,0.1417697795,0.001221422217,True,True,True,True,0,True,True,0.008844110424,0.2225855986,0.04943047212,0.13791686,0.858000354,0.1065466362,True,False,True,False,0,True,True,-0.01001225851,0.1091603409,0.008563829822,0.04273989692,0.2423499345,0.0106474336,True,True,True,True
fsi_4a3bc529b787,0,True,True,0.1981144314,0.3469136546,0.08671641188,0.1705229381,0.0223348603,0.04191022475,True,True,True,True,1,True,True,0.3264594105,0.1012551047,0.1224078451,0.06789671597,0.007653597405,0.1358799192,True,False,False,False,0,True,True,-0.01518354817,0.1400069014,0.007836856315,0.04064039991,0.05268987808,0.0005710217731,True,True,True,True
fsi_3c44e695a104,0,True,True,0.07957288439,0.4540397247,0.09950550751,0.2915999297,0.4238943589,0.1194553141,True,False,True,False,0,True,True,0.08497756565,0.2910503556,0.05512323326,0.1285331611,0.1231726374,0.02354958827,True,True,True,True,0,True,True,-0.008453373686,0.1616126243,0.007183926077,0.04570625264,0.2393126072,0.0004063923471,True,True,True,True
fsi_84659a0e8d32,0,True,True,0.08104474188,0.4547848185,0.09911278128,0.2934423107,0.4135272391,0.1211830426,True,False,True,False,0,True,True,0.0841602401,0.2923425385,0.05482512482,0.1289721258,0.1247673703,0.02340788493,True,True,True,True,0,True,True,-0.008386859327,0.161229695,0.007179290788,0.04582832733,0.2427254361,0.0004346107744,True,True,True,True
fsi_c3c95391066e,0,True,True,0.2060168905,0.3446947182,0.08697383542,0.1700201292,0.01784963503,0.04262398127,True,True,True,True,1,True,True,0.3346945064,0.111608572,0.123539651,0.06826449823,0.006744421465,0.102060971,True,False,False,False,0,True,True,-0.01280297971,0.1422766647,0.00780719695,0.04088000946,0.1010270947,0.0005007626257,True,True,True,True
fsi_8b4df67a810a,0,True,True,0.07357248686,0.4572880349,0.09952582201,0.2958714783,0.4597672649,0.1222101221,True,False,True,False,0,True,True,0.08536846762,0.2913766821,0.05531611893,0.1291547634,0.1227619439,0.02406891666,True,True,True,True,0,True,True,-0.007966915009,0.1623149904,0.007171414765,0.04575129733,0.2665999696,0.0003885102139,True,True,True,True
fsi_9a4fef897583,0,True,True,0.07606532404,0.4413244723,0.09921111359,0.2955645076,0.4432589251,0.1353958657,True,False,True,False,0,True,True,0.08583282247,0.2867544351,0.0551024399,0.1293652117,0.1193054486,0.02664858354,True,True,True,True,0,True,True,-0.00786779303,0.1611843779,0.00715990674,0.04582460708,0.2718256079,0.0004357640946,True,True,True,True
fsi_24c97e9e8f18,0,True,True,0.1947927393,0.3670769961,0.09061285863,0.2005846663,0.03157696348,0.06724467829,True,False,True,False,0,True,True,-0.02479750263,0.3349784633,0.0328126898,0.1366257007,0.4498116679,0.01421448848,True,True,True,True,0,True,True,-0.003512333018,0.08734550847,0.006734998701,0.04319702432,0.6020152798,0.04317366071,True,True,True,True
fsi_ae53f18060de,0,True,True,0.07819292769,0.4508061344,0.09872507773,0.2933147496,0.4283449299,0.1243088688,True,False,True,False,0,True,True,0.08360991008,0.2922075655,0.05477246136,0.1287437041,0.1268865363,0.02322674391,True,True,True,True,0,True,True,-0.008379211187,0.1615931894,0.0071698542,0.04593197872,0.2425356195,0.0004346522809,True,True,True,True
fsi_19a6724ce4d8,0,True,True,0.1988729525,0.3404334852,0.08870881608,0.2117539791,0.02497027177,0.1079044033,True,False,True,False,0,True,True,-0.02404890652,0.3283629968,0.03311270438,0.1427698592,0.4676706252,0.02145126762,True,True,True,True,0,True,True,-0.001985342021,0.08925032586,0.006729057443,0.04313277507,0.7679632198,0.03852734952,True,True,True,True
fsi_98ef577c2a0d,0,True,True,0.130883301,0.4655463747,0.09804726705,0.2719212072,0.1819090636,0.08688496626,True,False,True,False,0,True,True,0.1099495265,0.4416746903,0.06004284659,0.1437196393,0.0670730181,0.002117987507,True,True,True,True,0,True,True,-0.003732803856,0.1509611396,0.006382652176,0.04678243655,0.5586580915,0.001251495154,True,True,True,True
fsi_4a246ea41ca0,0,True,True,0.07517532463,0.4635982637,0.09945806948,0.2965433424,0.4497394796,0.1179724901,True,False,True,False,0,True,True,0.08494329859,0.2947089392,0.05539249256,0.1289338136,0.1251575458,0.02226958082,True,True,True,True,0,True,True,-0.00823343158,0.1616349524,0.007149552759,0.04600194841,0.2494851006,0.000441987315,True,True,True,True
fsi_7538a7ed7be1,0,True,True,0.1224534667,0.4486551315,0.09553782579,0.2714312594,0.1999382249,0.09834641556,True,False,True,False,0,True,True,0.1103975659,0.3992446112,0.05908742688,0.1334355113,0.06170959597,0.002771184271,True,True,True,True,0,True,True,-0.003000396053,0.1428017774,0.006546815104,0.04494440504,0.6467379455,0.001486541,True,True,True,True
fsi_712125a795f0,0,True,True,0.1833678623,0.3927193325,0.09098711832,0.1976391518,0.04387147246,0.0469166007,True,True,True,True,0,True,True,-0.02647985776,0.3311764995,0.03279528127,0.1359872937,0.4194194245,0.0148774387,True,True,True,True,0,True,True,-0.004668565259,0.08619681108,0.006747461491,0.04303901825,0.4890004422,0.04520308789,True,True,True,True
fsi_08867cb2048e,0,True,True,0.04227925786,0.2752367486,0.08870969776,0.2939625759,0.63364525,0.3491194683,True,False,True,False,0,True,True,0.01527833428,0.2817266827,0.04433885291,0.1268252881,0.730409256,0.02632548833,True,True,True,True,0,True,True,0.01088498453,0.1068905379,0.006605430357,0.04512721454,0.09937642968,0.01785318087,True,True,True,True
fsi_b1320ec99504,0,True,True,0.08987159998,0.4239477334,0.09884513162,0.2975356545,0.3632359878,0.1541966241,True,False,True,False,0,True,True,0.08959405846,0.2725655147,0.0550842541,0.1276232148,0.1038451888,0.03270348148,True,True,True,True,0,True,True,-0.006647419271,0.1597096086,0.007215084882,0.04526617835,0.3568821332,0.0004183442913,True,True,True,True
fsi_896489e14f09,0,True,True,0.04615481343,0.2701800933,0.08637798392,0.2998481027,0.5931095138,0.3675582598,True,False,True,False,0,True,True,0.01752271851,0.217548162,0.0446225048,0.1130634772,0.6945499953,0.05433902909,True,False,True,False,0,True,True,0.008637341789,0.1258765473,0.007096405658,0.04513136862,0.2235497422,0.005285240234,True,True,True,True
fsi_e3df9330dbef,0,True,True,0.1354580215,0.5896825288,0.1014386429,0.2305829405,0.1817555978,0.01054713971,True,True,True,True,0,True,True,0.02739031073,0.2639409031,0.04709890083,0.1446749883,0.5608706176,0.06809595091,True,False,True,False,0,True,True,-0.009999646065,0.1137715651,0.006956629497,0.04069636654,0.1505967425,0.005180031112,True,True,True,True
fsi_48475f5bbe31,0,True,True,0.1319422148,0.5970657977,0.09755330853,0.2243361795,0.1762109458,0.007779843374,True,True,True,True,0,True,True,0.03172354858,0.2676499116,0.0479613338,0.145447359,0.5083301281,0.06574121929,True,False,True,False,0,True,True,-0.009816006291,0.1144111566,0.006948473151,0.04072214031,0.1577482582,0.004960980096,True,True,True,True
fsi_e8e2ff47ab94,0,True,True,0.1733757112,0.4004351108,0.08810775902,0.2022694821,0.04909462996,0.0477360162,True,True,True,True,0,True,True,-0.02728381394,0.324898716,0.03298878748,0.1341992922,0.40820121,0.01547716992,True,True,True,True,0,True,True,-0.005980499221,0.08603105812,0.006756721099,0.04308857603,0.3760926925,0.0458676254,True,True,True,True
fsi_7d7bc3c94a8d,0,True,True,0.133967958,0.5940985056,0.09941059142,0.2218657602,0.1777798033,0.007412104396,True,True,True,True,0,True,True,0.03474888888,0.2673941765,0.04782738366,0.1458916904,0.4675029065,0.06682835635,True,False,True,False,0,True,True,-0.009692600205,0.1132009316,0.006958553556,0.04061476823,0.163648687,0.005316787908,True,True,True,True
